username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
Kavya311,14,4,0,1,15,5,0,0,0,0,0,0,0,0,0.0
22f3002318,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
23f1001879,6,2,0,0,4,3,0,0,0,0,0,0,0,0,0.0
aditya,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23f2004262,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
22ds2000191,1,1,0,1,1,14,0,0,0,0,0,0,0,0,0.0
Laxminandan,7,15,0,5,12,10,3,0,0,0,0,1,0,0,1.0
Vishal1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.0
Aryan_Chowdhary,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0
Kushagra21f3002930,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
22f3002815,3,0,0,1,3,11,0,0,0,0,0,0,0,0,0.0
lokesh47,3,4,0,0,18,9,0,0,0,0,0,0,0,0,0.0
22f1001426,0,1,0,1,3,6,0,0,0,0,0,0,0,0,0.0
jaidevd,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0.0
vancheeswaran,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Kashish,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
22f2001362,1,7,0,4,15,6,0,0,1,0,0,1,0,0,1.0
Pru19,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.0
21f3001791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Kishar_Nath,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
ritwik,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0.0
VAIBHAV_MISHRA,1,4,0,1,0,5,0,0,1,0,0,0,0,0,0.0
22f1000614,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0.0
22f3003030,2,1,0,2,1,2,0,0,0,0,0,0,0,0,0.0
nirmal.natarajan,1,2,0,1,9,5,0,0,0,0,0,0,0,0,0.0
22f3001166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22f3002389,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0.0
Shivansh20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
21f3002305,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0.0
23ds3000191,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0.0
carlton,0,10,0,3,12,18,3,0,0,0,0,1,0,0,1.0
Arnav,0,4,0,3,1,14,1,0,0,0,0,0,0,0,0.0
dev_22f2000888,0,0,0,0,4,1,1,0,0,0,0,2,0,0,2.0
iitmyash,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f3002767,19,2,0,1,4,3,0,0,0,0,0,0,0,0,0.0
23f2000690,2,34,0,7,9,20,0,0,0,0,0,0,0,0,0.0
jkmadathil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
